Strategy,Return %,Buy & Hold %,Max DD %,Sharpe,Sortino,Expo %,EV %,Trades,Data,Time
AccumulationIgnition,3.82,"1,421",-0.97,0.483,1.843,0.27,0.498,11,AAPL-15m-12Y,11-05-2025 08:35
AccumulationIgnition,3.21,490.65,-3.67,0.46,1.019,0.2,0.213,20,BTC-15m-150wks,11-05-2025 08:35
AccumulationIgnition,2.19,257.48,-6.27,0.17,0.303,0.57,0.005,56,ETH-15m-150wks,11-05-2025 08:34
AccumulationIgnition,5.15,490.65,-3.99,0.502,0.993,0.33,0.119,32,BTC-15m-150wks,11-05-2025 08:34
AccumulationIgnition,5.84,106.06,-1.77,0.72,2.245,3.67,13.582,1,GOOG-hourly,11-04-2025 10:57
AccumulationIgnition,2.67,"1,421",-5.11,0.112,0.182,1.04,0.48,6,AAPL-15m-12Y,11-04-2025 10:57
AccumulationIgnition,7.42,957.6,-5.09,0.399,0.902,0.57,2.752,3,ETH-1h-250wks,11-04-2025 10:57
AccumulationIgnition,8.11,"36,115",-4.72,0.312,1.133,0.37,2.243,4,BTC-1h-500wks,11-04-2025 10:57
AccumulationIgnition,1.01,490.65,-5.43,0.079,0.16,0.7,0.355,7,BTC-15m-150wks,11-04-2025 10:57
AccumulationIgnition,2.66,127.77,-3.51,0.533,1.148,0.55,1.141,2,BTC-USD-15m.csv,11-04-2025 10:57
AccumulationIgnition,6.08,106.06,-4.33,0.698,1.273,16.42,1.68,14,GOOG-hourly,11-04-2025 10:56
AccumulationIgnition,4.28,-7.67,-5.31,1.773,3.996,23.29,0.708,8,TSLA-5m-30D,11-04-2025 10:56
AccumulationIgnition,1.29,"1,421",-22.29,0.014,0.02,31.55,0.009,250,AAPL-15m-12Y,11-04-2025 10:56
AccumulationIgnition,2.83,410.61,-11.43,0.154,0.247,3.33,0.216,41,SOL-1h-250wks,11-04-2025 10:56
AccumulationIgnition,5.41,"33,600",-3.99,0.233,0.492,2.8,1.72,17,BTC-6h-1000wks,11-04-2025 10:56
