strategy,category,return,trades,win_rate,max_dd,sharpe,profit
Golden Cross 30/150,Optimized MA,34.84838297999999,30,30.0,-20.11076559175685,0.9518446410776196,34848.382979999995
GC 30/150 (1H),Multi-TF,34.84838297999999,30,30.0,-20.11076559175685,0.9518446410776196,34848.382979999995
GC 30/150 (4H),Multi-TF,19.235585779999997,7,42.85714285714285,-17.922092860502058,0.6742975834922128,19235.585779999994
Golden Cross 10/50,Optimized MA,16.570281300000076,112,23.214285714285715,-34.31105642150133,0.4758999652784323,16570.281300000075
Golden Cross 50/200,Optimized MA,9.016889819999967,26,30.76923076923077,-19.99965456912839,0.3444740041345062,9016.889819999953
Triple EMA Crossover,AI-Style,6.602015340000013,102,23.52941176470588,-37.04384022339775,0.2182072413311931,6602.015339999998
GC 30/150 (Daily),Multi-TF,6.066282680000004,0,0.0,-3.3567581788105816,0.836654022327278,6066.282680000004
Golden Cross 20/100,Optimized MA,5.595653679999988,55,21.818181818181817,-35.69697542503549,0.1904952792414224,5595.653680000003
MACD + RSI Combo,AI-Style,-5.96807566000009,103,35.92233009708738,-14.473411983432191,-0.4924407457473197,-5968.075660000075
Golden Cross 100/300,Optimized MA,-7.0420133999999965,15,20.0,-27.6474678028659,-0.3418553536558993,-7042.013399999996
Volume Breakout,AI-Style,-23.24956419999992,182,24.725274725274726,-36.71301256727936,-1.2526701711873551,-23249.56419999992
Bollinger Mean Reversion,AI-Style,-36.92233404000002,139,49.64028776978417,-38.16931999044113,-4.366802016059486,-36922.33404000002
