datetime,open,high,low,close,volume
2025-07-31 12:00:00,0.7786,0.7795,0.7764,0.7767,1143616.9
2025-07-31 12:15:00,0.7768,0.7778,0.7734,0.7764,1186306.0
2025-07-31 12:30:00,0.7764,0.7766,0.7714,0.7716,1813738.9
2025-07-31 12:45:00,0.7716,0.7746,0.7699,0.7738,1412322.3
2025-07-31 13:00:00,0.7738,0.7739,0.7652,0.7657,2452893.8
2025-07-31 13:15:00,0.7658,0.7682,0.7616,0.7646,2594180.6
2025-07-31 13:30:00,0.7646,0.7663,0.76,0.7632,2930717.5
2025-07-31 13:45:00,0.7631,0.7689,0.7624,0.7664,2625543.0
2025-07-31 14:00:00,0.7664,0.7691,0.7617,0.7638,2508708.6
2025-07-31 14:15:00,0.7638,0.7638,0.7561,0.7574,3171479.3
2025-07-31 14:30:00,0.7573,0.7621,0.7561,0.7573,2081119.9
2025-07-31 14:45:00,0.7572,0.761,0.7554,0.7556,1740940.1
2025-07-31 15:00:00,0.7555,0.7584,0.7526,0.7563,2395063.8
2025-07-31 15:15:00,0.7563,0.7603,0.7557,0.7594,1431848.8
2025-07-31 15:30:00,0.7593,0.7624,0.7593,0.7619,1472059.1
2025-07-31 15:45:00,0.7619,0.7631,0.7584,0.7619,1201305.9
2025-07-31 16:00:00,0.7619,0.7649,0.7605,0.7641,1493618.7
2025-07-31 16:15:00,0.7642,0.7679,0.7635,0.7673,1511594.7
2025-07-31 16:30:00,0.7673,0.7757,0.7672,0.7732,2610831.4
2025-07-31 16:45:00,0.7731,0.7739,0.7672,0.7691,1860002.6
2025-07-31 17:00:00,0.7691,0.7694,0.7628,0.7637,1669508.8
2025-07-31 17:15:00,0.7637,0.7655,0.7574,0.7598,2066061.5
2025-07-31 17:30:00,0.7598,0.7636,0.7591,0.7615,1193185.8
2025-07-31 17:45:00,0.7616,0.7631,0.7558,0.7574,1713494.8
2025-07-31 18:00:00,0.7573,0.7583,0.7512,0.7533,2539517.4
2025-07-31 18:15:00,0.7533,0.7594,0.7512,0.7592,1131173.0
2025-07-31 18:30:00,0.7591,0.7617,0.7585,0.7602,785199.2
2025-07-31 18:45:00,0.7602,0.7616,0.756,0.7579,845428.1
2025-07-31 19:00:00,0.7579,0.7595,0.7526,0.7529,1391412.2
2025-07-31 19:15:00,0.753,0.7558,0.7523,0.7538,917000.8
2025-07-31 19:30:00,0.7539,0.7547,0.7514,0.7535,1343920.3
2025-07-31 19:45:00,0.7534,0.755,0.7495,0.7517,2564755.2
2025-07-31 20:00:00,0.7518,0.7529,0.7462,0.7495,3294573.9
2025-07-31 20:15:00,0.7496,0.7539,0.7481,0.7517,1393779.6
2025-07-31 20:30:00,0.7518,0.7536,0.7476,0.7495,1207158.8
2025-07-31 20:45:00,0.7495,0.7513,0.7481,0.7497,819645.4
2025-07-31 21:00:00,0.7497,0.7529,0.749,0.7496,1273081.8
2025-07-31 21:15:00,0.7495,0.7524,0.7481,0.7522,792169.6
2025-07-31 21:30:00,0.7522,0.755,0.7512,0.7512,1330627.4
