datetime,open,high,low,close,volume
2022-11-07,0.4018,0.4158,0.3094,0.3296,8506290040.0
2022-11-14,0.3297,0.3448,0.3094,0.3119,3988278313.0
2022-11-21,0.3119,0.3233,0.2948,0.3125,4394923695.0
2022-11-28,0.3124,0.3264,0.299,0.322,3645168810.0
2022-12-05,0.322,0.3289,0.3035,0.3071,2727207890.0
2022-12-12,0.3071,0.3187,0.2543,0.2658,3928738486.0
2022-12-19,0.2659,0.2692,0.2462,0.2589,3327229339.0
2022-12-26,0.2589,0.2664,0.2389,0.2498,3624654983.0
2023-01-02,0.2498,0.3085,0.2464,0.2975,6208155636.0
2023-01-09,0.2975,0.3706,0.2954,0.351,9620114759.0
2023-01-16,0.351,0.3875,0.3218,0.3764,6108623992.0
2023-01-23,0.3765,0.3992,0.3467,0.3977,5053772578.0
2023-01-30,0.3977,0.4139,0.3647,0.3922,5489013990.0
2023-02-06,0.3922,0.4037,0.3536,0.3641,5023363797.0
2023-02-13,0.3641,0.422,0.3445,0.3994,6264943182.0
2023-02-20,0.3994,0.4097,0.3507,0.3688,4717076531.0
2023-02-27,0.3688,0.3698,0.317,0.3367,3880892302.0
2023-03-06,0.3367,0.3386,0.297,0.33,6514487104.0
2023-03-13,0.33,0.3681,0.3158,0.3447,7713578949.0
2023-03-20,0.3448,0.3871,0.3287,0.3555,7792836525.0
2023-03-27,0.3555,0.4091,0.3358,0.3813,5833281709.0
2023-04-03,0.3812,0.4048,0.3702,0.3891,4260713664.0
2023-04-10,0.3891,0.4624,0.3843,0.4514,6101896249.0
2023-04-17,0.4513,0.4517,0.378,0.3885,5095277974.0
2023-04-24,0.3886,0.4186,0.3753,0.3953,4826597621.0
2023-05-01,0.3953,0.3977,0.3729,0.3759,3516024982.0
2023-05-08,0.3759,0.3794,0.3478,0.3707,4347183152.0
2023-05-15,0.3707,0.3804,0.3561,0.3601,3279165101.0
2023-05-22,0.3601,0.3856,0.3533,0.3827,3273248906.0
2023-05-29,0.3827,0.3863,0.3605,0.3773,2712340773.0
2023-06-05,0.3773,0.3791,0.2167,0.2717,13201292115.0
2023-06-12,0.2717,0.2896,0.2521,0.2607,8609199857.0
2023-06-19,0.2607,0.305,0.2519,0.2918,7614662410.0
2023-06-26,0.2918,0.2996,0.258,0.2915,7183677738.0
2023-07-03,0.2915,0.3018,0.2753,0.2842,5243298261.0
2023-07-10,0.2842,0.3795,0.2776,0.3141,8644552793.0
2023-07-17,0.3141,0.332,0.2985,0.3169,5454745210.0
2023-07-24,0.3169,0.3188,0.2997,0.3156,3405597511.0
2023-07-31,0.3156,0.319,0.2885,0.2921,3316839825.0
2023-08-07,0.292,0.3025,0.281,0.2893,2814260372.0
2023-08-14,0.2892,0.2926,0.2319,0.2701,4630815689.0
2023-08-21,0.2702,0.2725,0.2493,0.2631,3424615292.0
2023-08-28,0.2631,0.2803,0.2484,0.2557,3655293347.0
2023-09-04,0.2556,0.2614,0.241,0.2488,2347006238.0
2023-09-11,0.2488,0.2551,0.2365,0.2468,3170724774.0
2023-09-18,0.2468,0.2579,0.2413,0.2425,2744967887.0
2023-09-25,0.2425,0.268,0.2401,0.2658,2854901749.0
2023-10-02,0.2658,0.2694,0.2518,0.2561,3513080754.0
2023-10-09,0.2561,0.2585,0.2417,0.2471,2441078332.0
2023-10-16,0.2472,0.2643,0.2382,0.2639,3134567492.0
2023-10-23,0.2639,0.2989,0.2614,0.2955,4938605814.0
2023-10-30,0.2955,0.3504,0.2839,0.342,5370428533.0
2023-11-06,0.342,0.3959,0.3337,0.3838,6181281638.0
2023-11-13,0.3839,0.41,0.337,0.3841,6034208172.0
2023-11-20,0.3841,0.3996,0.3553,0.3873,3733410749.0
2023-11-27,0.3873,0.4035,0.3694,0.3952,2786195847.0
2023-12-04,0.3952,0.6485,0.39,0.595,11939920801.0
2023-12-11,0.5949,0.6815,0.5077,0.5809,10104000833.0
2023-12-18,0.5809,0.6522,0.5439,0.5923,5611021607.0
2023-12-25,0.5922,0.6792,0.557,0.5941,4996180792.0
2024-01-01,0.5941,0.638,0.4826,0.4944,4293461674.0
2024-01-08,0.4944,0.6175,0.4639,0.5251,5373740352.0
2024-01-15,0.5251,0.5485,0.471,0.5034,2741646996.0
2024-01-22,0.5033,0.5065,0.4474,0.4902,3273382613.0
2024-01-29,0.4902,0.5368,0.4835,0.4933,3057050553.0
2024-02-05,0.4933,0.5655,0.4738,0.5414,3741112447.0
2024-02-12,0.5414,0.6397,0.5307,0.6197,4376562310.0
2024-02-19,0.6198,0.6423,0.5681,0.592,3900405461.0
