datetime,open,high,low,close,volume
2024-10-30 12:00:00,0.3521,0.3568,0.3507,0.3546,67570886.0
2024-10-30 16:00:00,0.3545,0.358,0.3541,0.3551,35678591.0
2024-10-30 20:00:00,0.3551,0.3594,0.3539,0.355,36183564.0
2024-10-31 00:00:00,0.3551,0.36,0.3542,0.358,37288639.0
2024-10-31 04:00:00,0.358,0.3587,0.3535,0.3559,27451707.0
2024-10-31 08:00:00,0.3559,0.3615,0.3525,0.3589,54506797.0
2024-10-31 12:00:00,0.3588,0.3614,0.3444,0.3446,158429746.0
2024-10-31 16:00:00,0.3446,0.3466,0.3402,0.341,89909885.0
2024-10-31 20:00:00,0.341,0.344,0.3403,0.3416,35686360.0
2024-11-01 00:00:00,0.3416,0.3431,0.3337,0.3401,77085407.0
2024-11-01 04:00:00,0.3401,0.3431,0.3376,0.3428,49813149.0
2024-11-01 08:00:00,0.3428,0.3495,0.3419,0.3474,64928962.0
2024-11-01 12:00:00,0.3473,0.362,0.3472,0.3525,180435821.0
2024-11-01 16:00:00,0.3526,0.3592,0.3518,0.3533,117010855.0
2024-11-01 20:00:00,0.3533,0.3586,0.3514,0.3575,72189160.0
2024-11-02 00:00:00,0.3575,0.364,0.3572,0.361,71419137.0
2024-11-02 04:00:00,0.361,0.3628,0.3546,0.3571,59727015.0
2024-11-02 08:00:00,0.3571,0.3593,0.3543,0.3583,43378864.0
2024-11-02 12:00:00,0.3583,0.359,0.3482,0.3543,109165719.0
2024-11-02 16:00:00,0.3542,0.3567,0.3505,0.3518,63568581.0
2024-11-02 20:00:00,0.3518,0.3522,0.3451,0.3482,38838198.0
2024-11-03 00:00:00,0.3481,0.3482,0.335,0.3402,106331536.0
2024-11-03 04:00:00,0.3403,0.3442,0.3398,0.3407,45871867.0
2024-11-03 08:00:00,0.3407,0.3412,0.3351,0.3353,63795767.0
2024-11-03 12:00:00,0.3353,0.3374,0.3295,0.3331,106133658.0
2024-11-03 16:00:00,0.333,0.3355,0.3271,0.3335,83967576.0
2024-11-03 20:00:00,0.3335,0.3363,0.3312,0.3339,58674006.0
2024-11-04 00:00:00,0.3338,0.3366,0.3302,0.3332,59806577.0
2024-11-04 04:00:00,0.3332,0.3343,0.3289,0.3302,49679115.0
2024-11-04 08:00:00,0.3302,0.3337,0.3287,0.3326,52832040.0
2024-11-04 12:00:00,0.3327,0.335,0.3247,0.3279,79989469.0
2024-11-04 16:00:00,0.3279,0.3295,0.3239,0.3282,59020001.0
2024-11-04 20:00:00,0.3282,0.3293,0.32,0.3261,82636700.0
2024-11-05 00:00:00,0.3262,0.3305,0.3258,0.3301,39243347.0
2024-11-05 04:00:00,0.3301,0.3316,0.3291,0.3311,31539311.0
2024-11-05 08:00:00,0.3311,0.3331,0.33,0.3314,34210129.0
2024-11-05 12:00:00,0.3314,0.3365,0.3291,0.3339,101503147.0
2024-11-05 16:00:00,0.3338,0.3381,0.3285,0.3298,77676616.0
2024-11-05 20:00:00,0.3298,0.3355,0.3287,0.3335,45598687.0
2024-11-06 00:00:00,0.3334,0.3614,0.3334,0.3583,189598397.0
2024-11-06 04:00:00,0.3584,0.3661,0.3557,0.3597,170121552.0
2024-11-06 08:00:00,0.3598,0.3611,0.353,0.3583,101714497.0
2024-11-06 12:00:00,0.3583,0.36,0.3514,0.3534,87273046.0
2024-11-06 16:00:00,0.3534,0.3581,0.3518,0.3575,53277424.0
2024-11-06 20:00:00,0.3574,0.3657,0.3571,0.3632,68531700.0
2024-11-07 00:00:00,0.3631,0.3787,0.3614,0.3737,118420039.0
2024-11-07 04:00:00,0.3737,0.3739,0.3658,0.369,111597043.0
2024-11-07 08:00:00,0.369,0.373,0.3686,0.37,52835337.0
2024-11-07 12:00:00,0.3701,0.3888,0.37,0.3886,107168013.0
2024-11-07 16:00:00,0.3886,0.3951,0.385,0.3933,169392928.0
2024-11-07 20:00:00,0.3934,0.4071,0.3932,0.4068,151144040.0
2024-11-08 00:00:00,0.4068,0.423,0.404,0.4221,278207574.0
2024-11-08 04:00:00,0.4221,0.4438,0.4187,0.4282,363397011.0
2024-11-08 08:00:00,0.4282,0.4372,0.4216,0.4352,243038594.0
2024-11-08 12:00:00,0.435,0.4511,0.4333,0.4501,426987572.0
2024-11-08 16:00:00,0.4501,0.459,0.4361,0.4438,455855089.0
2024-11-08 20:00:00,0.4438,0.4461,0.4354,0.4448,148204681.0
2024-11-09 00:00:00,0.4447,0.445,0.4286,0.4299,151718828.0
2024-11-09 04:00:00,0.4298,0.4398,0.4274,0.4353,159099573.0
2024-11-09 08:00:00,0.4353,0.4419,0.4345,0.4416,74897779.0
2024-11-09 12:00:00,0.4416,0.4449,0.4313,0.4379,129367298.0
2024-11-09 16:00:00,0.4379,0.4436,0.4332,0.4397,90347543.0
2024-11-09 20:00:00,0.4398,0.4988,0.4395,0.497,284203095.0
2024-11-10 00:00:00,0.497,0.5412,0.4882,0.5331,525546419.0
2024-11-10 04:00:00,0.5331,0.5975,0.5328,0.5848,932622883.0
2024-11-10 08:00:00,0.5848,0.5998,0.5746,0.5882,443878348.0
2024-11-10 12:00:00,0.5882,0.66,0.5864,0.5997,1186847919.0
2024-11-10 16:00:00,0.5997,0.6332,0.5965,0.6132,548713667.0
2024-11-10 20:00:00,0.6131,0.616,0.544,0.5907,718662148.0
2024-11-11 00:00:00,0.5907,0.6133,0.5845,0.5984,328036477.0
2024-11-11 04:00:00,0.5984,0.5996,0.5651,0.5736,318027874.0
2024-11-11 08:00:00,0.5736,0.5988,0.573,0.5972,212414230.0
2024-11-11 12:00:00,0.5971,0.6252,0.5795,0.6017,533920271.0
2024-11-11 16:00:00,0.6018,0.6102,0.5882,0.5978,261536542.0
2024-11-11 20:00:00,0.5978,0.6227,0.5935,0.6139,296705743.0
2024-11-12 00:00:00,0.6139,0.6141,0.5782,0.5939,284668614.0
2024-11-12 04:00:00,0.5939,0.6244,0.5811,0.6119,275574823.0
2024-11-12 08:00:00,0.612,0.6555,0.5607,0.5861,732982570.0
2024-11-12 12:00:00,0.586,0.5931,0.557,0.5712,345779576.0
2024-11-12 16:00:00,0.5713,0.5834,0.5557,0.5772,186752616.0
2024-11-12 20:00:00,0.5771,0.5876,0.5683,0.5714,158481534.0
2024-11-13 00:00:00,0.5715,0.5751,0.5356,0.5357,263897268.0
2024-11-13 04:00:00,0.5357,0.5476,0.5191,0.5342,262069675.0
2024-11-13 08:00:00,0.5343,0.5437,0.5262,0.5379,176027145.0
2024-11-13 12:00:00,0.5379,0.6106,0.5294,0.5957,593004746.0
2024-11-13 16:00:00,0.5956,0.5999,0.5631,0.5707,330985893.0
2024-11-13 20:00:00,0.5707,0.5815,0.5562,0.5788,196281326.0
2024-11-14 00:00:00,0.5787,0.5828,0.5636,0.5733,116844501.0
2024-11-14 04:00:00,0.5732,0.5978,0.5657,0.5812,176799990.0
2024-11-14 08:00:00,0.5812,0.5839,0.5565,0.5678,148720769.0
2024-11-14 12:00:00,0.5678,0.5738,0.5418,0.5485,251272984.0
2024-11-14 16:00:00,0.5485,0.5655,0.5465,0.5653,147456294.0
2024-11-14 20:00:00,0.5652,0.6009,0.5559,0.5795,325578141.0
2024-11-15 00:00:00,0.5794,0.6019,0.5751,0.5947,224828551.0
2024-11-15 04:00:00,0.5946,0.6287,0.5767,0.5902,391443911.0
2024-11-15 08:00:00,0.5903,0.6306,0.5835,0.6139,328719910.0
2024-11-15 12:00:00,0.6139,0.6963,0.6137,0.6478,1027893987.0
2024-11-15 16:00:00,0.6478,0.683,0.6425,0.6784,422627438.0
2024-11-15 20:00:00,0.6784,0.708,0.6616,0.7076,430512548.0
2024-11-16 00:00:00,0.7077,0.7512,0.7029,0.7462,543799337.0
2024-11-16 04:00:00,0.7462,0.7595,0.7144,0.726,381684323.0
2024-11-16 08:00:00,0.726,0.785,0.7078,0.7529,660690203.0
2024-11-16 12:00:00,0.7529,0.8199,0.7338,0.7463,785270587.0
2024-11-16 16:00:00,0.7462,0.775,0.7402,0.7596,351225919.0
2024-11-16 20:00:00,0.7596,0.7677,0.7304,0.742,207725937.0
2024-11-17 00:00:00,0.742,0.7738,0.6904,0.7152,455075540.0
2024-11-17 04:00:00,0.7152,0.7307,0.7062,0.7186,175416841.0
2024-11-17 08:00:00,0.7186,0.7298,0.708,0.7086,143717710.0
2024-11-17 12:00:00,0.7086,0.7346,0.7068,0.7262,153291313.0
2024-11-17 16:00:00,0.7263,0.7488,0.7109,0.7167,204928813.0
2024-11-17 20:00:00,0.7167,0.7218,0.6977,0.703,123026178.0
2024-11-18 00:00:00,0.703,0.745,0.7006,0.7377,190711702.0
2024-11-18 04:00:00,0.7377,0.7808,0.734,0.7623,248462586.0
2024-11-18 08:00:00,0.7623,0.7856,0.7306,0.7352,245815421.0
2024-11-18 12:00:00,0.7353,0.7702,0.7177,0.7659,239565069.0
2024-11-18 16:00:00,0.7659,0.7694,0.723,0.7368,197237076.0
2024-11-18 20:00:00,0.7368,0.7508,0.7321,0.7333,106456738.0
2024-11-19 00:00:00,0.7333,0.7543,0.729,0.7533,97344915.0
2024-11-19 04:00:00,0.7534,0.7658,0.737,0.7559,128375217.0
2024-11-19 08:00:00,0.7559,0.7566,0.7308,0.7384,129065708.0
2024-11-19 12:00:00,0.7383,0.7571,0.7231,0.7301,188084442.0
2024-11-19 16:00:00,0.7301,0.753,0.7263,0.7471,126143487.0
2024-11-19 20:00:00,0.747,0.7624,0.7203,0.7389,208138088.0
2024-11-20 00:00:00,0.739,0.778,0.7388,0.7709,319859073.0
2024-11-20 04:00:00,0.771,0.8044,0.7618,0.7896,330929504.0
2024-11-20 08:00:00,0.7896,0.8488,0.7869,0.8265,584866997.0
2024-11-20 12:00:00,0.8264,0.8444,0.8105,0.8356,473810184.0
2024-11-20 16:00:00,0.8355,0.8438,0.7845,0.7989,447483525.0
2024-11-20 20:00:00,0.7989,0.822,0.7915,0.8003,229498042.0
2024-11-21 00:00:00,0.8004,0.8195,0.766,0.7762,271825376.0
2024-11-21 04:00:00,0.7762,0.8017,0.771,0.7851,217383735.0
2024-11-21 08:00:00,0.7852,0.7944,0.7708,0.7863,172517109.0
2024-11-21 12:00:00,0.7864,0.8104,0.7701,0.7795,272531834.0
2024-11-21 16:00:00,0.7794,0.813,0.7782,0.7969,212504112.0
2024-11-21 20:00:00,0.797,0.825,0.7858,0.8226,149097652.0
2024-11-22 00:00:00,0.8227,0.8886,0.813,0.8715,463330768.0
2024-11-22 04:00:00,0.8715,0.9017,0.854,0.8564,273079985.0
2024-11-22 08:00:00,0.8564,0.9184,0.8526,0.9142,239150307.0
2024-11-22 12:00:00,0.9142,0.933,0.8793,0.9267,636556716.0
2024-11-22 16:00:00,0.9269,0.9893,0.924,0.9682,623775260.0
2024-11-22 20:00:00,0.9683,1.044,0.9672,1.0177,507235036.0
2024-11-23 00:00:00,1.0178,1.1575,1.0161,1.0932,843622057.0
2024-11-23 04:00:00,1.0933,1.1091,1.0392,1.095,326882717.0
2024-11-23 08:00:00,1.0949,1.1107,1.0671,1.0858,272852641.0
2024-11-23 12:00:00,1.0857,1.1496,1.0571,1.104,377280339.0
2024-11-23 16:00:00,1.104,1.1306,1.023,1.0675,431904752.0
2024-11-23 20:00:00,1.0674,1.0925,1.0301,1.0665,200627473.0
2024-11-24 00:00:00,1.0666,1.0989,1.0531,1.083,219867730.0
2024-11-24 04:00:00,1.0829,1.0921,1.0459,1.0737,168083927.0
2024-11-24 08:00:00,1.0738,1.0794,1.0,1.0053,257434254.0
2024-11-24 12:00:00,1.0053,1.0214,0.9412,0.9497,518122323.0
2024-11-24 16:00:00,0.9496,1.0041,0.943,0.9829,274980645.0
2024-11-24 20:00:00,0.9829,1.0394,0.9784,1.0233,184076294.0
