datetime,open,high,low,close,volume
2025-07-31 12:00:00,180.75,180.89,178.74,179.34,94937.38
2025-07-31 13:00:00,179.34,179.37,176.7,177.68,224982.355
2025-07-31 14:00:00,177.68,178.24,175.59,175.7,229502.212
2025-07-31 15:00:00,175.7,177.47,175.25,177.35,130121.074
2025-07-31 16:00:00,177.34,179.77,177.15,179.27,139561.481
2025-07-31 17:00:00,179.27,179.31,176.84,177.29,105449.453
2025-07-31 18:00:00,177.3,178.1,175.58,177.77,98723.623
2025-07-31 19:00:00,177.77,178.2,174.75,175.32,194365.787
2025-07-31 20:00:00,175.31,175.74,174.22,175.46,138740.666
2025-07-31 21:00:00,175.46,175.68,172.72,173.82,126249.21
2025-07-31 22:00:00,173.82,174.47,172.42,172.89,134670.08
2025-07-31 23:00:00,172.89,173.75,171.44,172.22,121983.902
2025-08-01 00:00:00,172.22,172.26,167.42,170.31,569609.262
2025-08-01 01:00:00,170.3,170.89,167.95,169.54,250444.024
2025-08-01 02:00:00,169.54,171.84,169.2,171.43,136538.13
2025-08-01 03:00:00,171.43,172.19,170.95,171.14,74116.132
2025-08-01 04:00:00,171.14,171.14,169.27,169.67,107773.28
2025-08-01 05:00:00,169.67,170.3,168.21,169.12,94815.624
2025-08-01 06:00:00,169.13,169.63,167.96,169.53,105560.977
2025-08-01 07:00:00,169.53,169.94,168.23,169.4,141094.742
2025-08-01 08:00:00,169.41,169.41,166.19,167.62,232415.435
2025-08-01 09:00:00,167.61,168.97,167.2,167.34,151851.829
2025-08-01 10:00:00,167.35,168.75,167.08,168.6,71866.363
2025-08-01 11:00:00,168.59,169.23,167.8,169.2,83231.901
2025-08-01 12:00:00,169.19,170.35,168.37,169.02,144056.072
2025-08-01 13:00:00,169.02,169.8,164.84,165.67,234824.705
2025-08-01 14:00:00,165.66,169.7,164.58,169.38,267156.612
2025-08-01 15:00:00,169.38,169.5,167.07,168.57,128014.102
2025-08-01 16:00:00,168.56,169.75,166.49,166.93,164594.398
2025-08-01 17:00:00,166.92,167.69,165.42,166.57,140272.543
2025-08-01 18:00:00,166.56,167.22,165.1,165.75,140377.603
2025-08-01 19:00:00,165.74,167.59,165.39,166.47,189541.927
2025-08-01 20:00:00,166.47,166.82,161.73,163.82,291902.577
2025-08-01 21:00:00,163.81,164.9,163.54,163.89,99971.699
2025-08-01 22:00:00,163.9,164.0,159.2,161.28,379263.923
2025-08-01 23:00:00,161.29,163.07,160.96,162.71,118235.455
2025-08-02 00:00:00,162.71,164.64,162.56,164.64,122734.56
2025-08-02 01:00:00,164.65,164.85,163.78,164.76,42650.919
2025-08-02 02:00:00,164.77,165.02,164.26,164.57,36856.704
2025-08-02 03:00:00,164.57,164.88,164.15,164.36,35223.575
2025-08-02 04:00:00,164.37,165.3,163.96,165.16,45861.883
2025-08-02 05:00:00,165.16,165.22,164.56,164.7,32239.705
2025-08-02 06:00:00,164.69,164.79,161.82,162.78,92225.927
2025-08-02 07:00:00,162.77,164.49,161.9,164.43,81570.838
2025-08-02 08:00:00,164.44,164.83,163.46,163.74,50849.723
2025-08-02 09:00:00,163.74,164.32,163.34,163.77,46975.778
2025-08-02 10:00:00,163.76,163.93,162.25,163.06,51713.723
2025-08-02 11:00:00,163.05,165.13,162.22,164.51,73030.842
2025-08-02 12:00:00,164.5,164.61,163.47,164.36,32631.775
2025-08-02 13:00:00,164.36,164.94,163.6,164.46,32270.512
2025-08-02 14:00:00,164.46,164.74,162.26,162.67,97730.815
2025-08-02 15:00:00,162.67,163.76,161.03,161.5,99957.393
2025-08-02 16:00:00,161.51,162.06,160.17,161.55,116659.961
2025-08-02 17:00:00,161.54,162.2,158.4,159.31,204401.236
2025-08-02 18:00:00,159.32,159.76,155.83,156.63,348683.752
