datetime,open,high,low,close,volume
2022-11-07,32.61,33.11,9.423,13.126,1505253587.0
2022-11-14,13.125,15.36,12.0,12.251,347328269.0
2022-11-21,12.252,14.964,10.901,14.099,273421611.0
2022-11-28,14.097,14.3,12.743,13.7,144338635.0
2022-12-05,13.7,14.373,13.258,13.406,82734070.0
2022-12-12,13.407,14.96,11.895,12.369,133070932.0
2022-12-19,12.37,12.573,11.03,11.373,92650089.0
2022-12-26,11.372,11.488,7.777,9.977,502423850.0
2023-01-02,9.977,15.489,9.796,14.465,627725628.0
2023-01-09,14.464,25.2,14.256,22.903,638471744.0
2023-01-16,22.903,26.687,20.31,24.195,456472779.0
2023-01-23,24.196,26.869,22.11,26.09,276255639.0
2023-01-30,26.09,26.334,22.45,23.464,239815616.0
2023-02-06,23.465,24.24,19.66,21.483,202663731.0
2023-02-13,21.484,25.68,19.72,24.853,249223270.0
2023-02-20,24.851,27.15,21.4,23.238,232489971.0
2023-02-27,23.238,23.4,20.175,20.96,125765839.0
2023-03-06,20.96,21.18,15.993,20.193,280753007.0
2023-03-13,20.193,23.0,18.633,21.864,267106395.0
2023-03-20,21.864,23.91,20.074,20.931,204059089.0
2023-03-27,20.929,21.661,19.297,20.509,111389065.0
2023-04-03,20.509,21.34,19.821,20.278,74858555.0
2023-04-10,20.277,25.538,20.063,25.352,292394918.0
2023-04-17,25.352,26.067,20.809,21.461,183140538.0
2023-04-24,21.461,24.0,20.291,22.729,174896034.0
2023-05-01,22.728,23.233,21.22,21.659,153933558.0
2023-05-08,21.659,21.816,19.626,20.917,147313238.0
2023-05-15,20.915,21.518,19.3,19.605,97367849.0
2023-05-22,19.604,21.187,18.53,20.797,116026110.0
2023-05-29,20.798,22.297,20.265,21.814,102414531.0
2023-06-05,21.814,22.047,12.6,15.534,328298967.0
2023-06-12,15.535,16.211,13.97,15.43,246023302.0
2023-06-19,15.429,17.737,15.32,16.947,195311082.0
2023-06-26,16.949,20.038,15.473,19.453,314323385.0
2023-07-03,19.454,22.468,18.151,21.314,365169731.0
2023-07-10,21.315,33.579,20.434,27.404,476167701.0
2023-07-17,27.403,28.488,23.95,24.752,274761616.0
2023-07-24,24.752,25.722,22.7,24.236,216774357.0
2023-07-31,24.236,24.769,22.17,23.182,186056865.0
2023-08-07,23.183,25.3,22.25,24.216,169071479.0
2023-08-14,24.217,25.5,19.63,21.76,208054952.0
2023-08-21,21.762,21.999,19.2,20.779,170278792.0
2023-08-28,20.778,22.063,19.009,19.555,167117221.0
2023-09-04,19.554,20.6,17.733,18.219,191528582.0
2023-09-11,18.22,19.495,17.32,18.798,289318675.0
2023-09-18,18.799,20.547,18.56,19.351,174283913.0
2023-09-25,19.35,24.506,18.716,23.873,197662044.0
2023-10-02,23.873,24.83,22.483,23.204,307903001.0
2023-10-09,23.204,23.364,20.82,21.918,178691266.0
2023-10-16,21.918,30.368,21.876,29.031,366741802.0
2023-10-23,29.03,33.96,28.72,32.826,359255928.0
2023-10-30,32.828,46.8,32.256,41.167,443085481.0
2023-11-06,41.167,64.036,39.656,56.315,423912547.0
2023-11-13,56.315,68.356,51.166,61.099,396011066.0
2023-11-20,61.099,61.358,51.2,57.593,226463160.0
2023-11-27,57.593,65.622,53.412,63.015,196413407.0
2023-12-04,63.02,77.879,59.0,74.907,258075145.0
2023-12-11,74.904,79.679,63.501,70.902,223857882.0
2023-12-18,70.902,118.7,66.851,112.571,284042260.0
2023-12-25,112.572,126.938,97.32,101.778,266357939.0
2024-01-01,101.775,117.1,83.51,89.414,216362871.0
2024-01-08,89.414,108.0,85.1,93.83,240078866.0
2024-01-15,93.829,103.635,87.005,91.105,154356265.0
2024-01-22,91.111,99.428,78.96,95.948,199039634.0
2024-01-29,95.948,106.5,93.1,95.451,173240964.0
2024-02-05,95.452,110.839,93.116,107.471,143633866.0
2024-02-12,107.471,118.837,103.382,112.345,158812813.0
2024-02-19,112.344,115.022,98.5,103.569,135107800.0
2024-02-26,103.57,137.996,100.35,130.304,233969076.0
2024-03-04,130.304,152.9,103.99,144.497,216486025.0
2024-03-11,144.501,205.0,136.371,201.962,282085303.0
2024-03-18,201.96,210.425,162.453,184.019,226326957.0
2024-03-25,184.018,203.459,180.29,202.678,117154098.0
2024-04-01,202.685,204.755,168.1,179.615,133151935.0
2024-04-08,179.615,184.799,112.917,151.187,187990704.0
2024-04-15,151.186,156.048,126.392,148.734,191827742.0
2024-04-22,148.733,159.987,132.385,137.922,113401065.0
2024-04-29,137.922,149.08,118.265,145.673,139289751.0
2024-05-06,145.673,159.194,139.892,143.364,107415263.0
2024-05-13,143.364,175.9,137.78,169.853,113357887.0
2024-05-20,169.852,188.955,161.002,163.505,111932565.0
2024-05-27,163.506,174.06,161.357,163.251,74360799.0
2024-06-03,163.252,175.784,152.22,162.116,65615637.0
2024-06-10,162.117,163.2,139.5,151.245,81516963.0
2024-06-17,151.244,151.747,127.0,128.661,100408780.0
2024-06-24,128.66,151.25,121.4,146.582,107530131.0
2024-07-01,146.582,154.915,120.069,131.599,134472262.0
2024-07-08,131.6,148.5,127.669,147.575,105389203.0
2024-07-15,147.572,185.32,146.914,184.473,102589513.0
2024-07-22,184.473,188.34,165.304,184.808,111802629.0
2024-07-29,184.808,193.893,131.0,138.291,158903434.0
2024-08-05,138.291,163.712,109.162,141.492,258179844.0
2024-08-12,141.493,152.13,136.05,142.354,134447334.0
2024-08-19,142.348,162.325,138.689,158.88,102925288.0
2024-08-26,158.881,162.0,127.6,128.411,124982445.0
2024-09-02,128.411,137.5,120.479,130.073,132307766.0
2024-09-09,130.074,139.828,126.847,131.319,100264623.0
2024-09-16,131.32,152.5,126.96,144.587,115538822.0
2024-09-23,144.588,161.761,142.024,158.385,109890847.0
2024-09-30,158.386,159.744,133.002,146.412,119575500.0
2024-10-07,146.399,152.28,135.427,147.645,85801342.0
2024-10-14,147.646,167.95,146.705,167.42,89819781.0
2024-10-21,167.42,179.3,159.12,176.58,129899230.0
2024-10-28,176.58,183.34,157.77,162.44,109246463.0
