datetime,open,high,low,close,volume
2023-05-01,1.403,1.4931,1.2135,1.2419,1926712264.3
2023-05-08,1.2418,1.2463,1.0113,1.1581,2909783249.9
2023-05-15,1.1581,1.2549,1.0507,1.0724,1887348327.2
2023-05-22,1.0724,1.0976,0.9258,1.061,1345739111.8
2023-05-29,1.0611,1.1,0.9031,0.9601,1605541962.9
2023-06-05,0.9602,0.9715,0.5,0.6047,3233147685.2
2023-06-12,0.6047,0.796,0.565,0.7194,5858253043.2
2023-06-19,0.7195,0.8897,0.708,0.7447,5569441183.6
2023-06-26,0.7448,0.76,0.6212,0.6907,2564031965.5
2023-07-03,0.6908,0.739,0.633,0.6586,1965895673.4
2023-07-10,0.6586,0.764,0.6259,0.6718,2051732551.1
2023-07-17,0.6718,0.7844,0.6643,0.6786,3825080287.6
2023-07-24,0.6787,0.6804,0.5901,0.6196,1345626621.8
2023-07-31,0.6195,0.6497,0.5734,0.592,1451734191.5
2023-08-07,0.592,0.6266,0.5553,0.598,964835121.6
2023-08-14,0.598,0.6038,0.4197,0.5433,2913258528.7
2023-08-21,0.5432,0.626,0.4952,0.583,6786077921.5
2023-08-28,0.583,0.5831,0.4718,0.4837,3292596462.2
2023-09-04,0.4838,0.4997,0.443,0.4546,698591706.3
2023-09-11,0.4547,0.4667,0.4172,0.4343,1916645163.4
2023-09-18,0.4343,0.4644,0.4252,0.4387,1310390449.5
2023-09-25,0.4387,0.5098,0.427,0.5068,2161840032.9
2023-10-02,0.5068,0.5076,0.424,0.4375,1713731458.7
2023-10-09,0.4375,0.4386,0.3971,0.4104,1069650306.1
2023-10-16,0.4104,0.4297,0.3615,0.4041,2162193903.7
2023-10-23,0.4042,0.4789,0.3921,0.453,2632318063.5
2023-10-30,0.4531,0.5249,0.42,0.5003,2355413090.8
2023-11-06,0.5004,0.6461,0.47,0.6185,2772569851.1
2023-11-13,0.6185,0.6591,0.5139,0.5633,2008428265.5
2023-11-20,0.5634,0.6887,0.4964,0.6351,1901509020.7
2023-11-27,0.6352,0.6478,0.5641,0.6158,672386537.2
2023-12-04,0.6158,0.7279,0.55,0.6932,2009927251.0
2023-12-11,0.6931,0.7155,0.595,0.6112,1667878915.6
2023-12-18,0.6112,0.7626,0.564,0.7148,2609452308.8
2023-12-25,0.7148,0.9221,0.7084,0.7759,2465913654.3
2024-01-01,0.7759,0.9428,0.6709,0.8,2379683594.0
2024-01-08,0.8,1.3657,0.7202,1.2518,4783212324.2
2024-01-15,1.2518,1.4524,1.0532,1.0612,3066127513.6
2024-01-22,1.0612,1.4955,1.0077,1.3326,4130811940.3
2024-01-29,1.3325,1.6497,1.3268,1.4647,3360465839.0
2024-02-05,1.4647,1.8148,1.433,1.6943,2316062412.5
2024-02-12,1.6944,1.9749,1.6884,1.8007,1716386208.6
2024-02-19,1.8007,1.8365,1.5539,1.6472,1075699483.4
2024-02-26,1.6473,1.7466,1.3537,1.5617,1439633291.9
2024-03-04,1.5618,1.6735,1.151,1.5567,1666199046.4
2024-03-11,1.5568,1.7184,1.335,1.6198,1974360637.8
2024-03-18,1.6197,1.9478,1.4305,1.68,2198793731.0
2024-03-25,1.6799,2.185,1.6554,1.9157,1667264021.0
2024-04-01,1.9157,2.0273,1.5412,1.6431,1057954251.6
2024-04-08,1.6431,1.7241,0.876,1.1976,1376607969.8
2024-04-15,1.1976,1.4446,1.102,1.3691,1711443302.6
2024-04-22,1.369,1.4387,1.1176,1.2166,788711653.7
2024-04-29,1.2165,1.2306,1.0526,1.0952,1120345972.7
2024-05-06,1.0952,1.1522,0.9724,1.0035,1416676431.4
2024-05-13,1.0035,1.1076,0.8842,1.0264,1348294083.3
2024-05-20,1.0264,1.1717,0.9989,1.042,986938566.4
2024-05-27,1.0419,1.0842,0.9807,1.0165,556634469.4
2024-06-03,1.0165,1.1718,0.98,1.0941,944724607.2
2024-06-10,1.0942,1.097,0.9,0.9694,696938335.9
2024-06-17,0.9694,0.9849,0.7459,0.8804,932866370.8
2024-06-24,0.8804,0.9071,0.7721,0.8195,593970378.2
2024-07-01,0.8195,0.8371,0.5694,0.6397,874161341.6
2024-07-08,0.6396,0.8185,0.612,0.8069,837706831.9
2024-07-15,0.8068,0.8916,0.7852,0.8588,645419393.7
2024-07-22,0.8588,0.9021,0.7095,0.7491,513421894.4
2024-07-29,0.7492,0.7846,0.5623,0.5772,623013276.3
2024-08-05,0.5771,0.959,0.4623,0.8731,3256644886.7
2024-08-12,0.8731,1.1163,0.7971,0.8239,4344994257.4
2024-08-19,0.8239,1.0561,0.81,0.9987,2096563107.1
2024-08-26,0.9987,1.0142,0.7554,0.7601,1863823817.3
2024-09-02,0.76,0.9855,0.7409,0.9385,3277319112.0
2024-09-09,0.9385,1.1411,0.8661,1.0781,3734490345.7
2024-09-16,1.0781,1.6335,1.0169,1.5833,4883625159.7
2024-09-23,1.5832,1.8497,1.4961,1.758,3681697247.0
2024-09-30,1.7581,2.0052,1.6014,1.8396,5672480834.1
2024-10-07,1.8397,2.368,1.7455,2.3421,4694044879.5
2024-10-14,2.3422,2.3484,1.9687,2.1275,3083509910.7
2024-10-21,2.1275,2.18,1.6014,1.7554,2121067218.0
2024-10-28,1.7553,2.1303,1.5991,1.9447,3457215500.2
