datetime,open,high,low,close,volume
2023-11-01,0.5997,0.6177,0.5802,0.6091,1745042349.7
2023-11-02,0.6091,0.6273,0.5857,0.6057,1679996338.8
2023-11-03,0.6058,0.6154,0.5914,0.6124,880215391.2
2023-11-04,0.6124,0.6186,0.6084,0.6156,454117224.4
2023-11-05,0.6155,0.6635,0.6141,0.661,1553220565.5
2023-11-06,0.661,0.7333,0.6588,0.7153,2745116632.1
2023-11-07,0.7153,0.716,0.6464,0.6852,2381782418.0
2023-11-08,0.6852,0.699,0.6728,0.6876,1284687917.6
2023-11-09,0.6876,0.7078,0.6006,0.667,2617535606.7
2023-11-10,0.6671,0.672,0.6344,0.6599,1292912359.8
2023-11-11,0.6599,0.6883,0.6401,0.6634,1299615253.2
2023-11-12,0.6633,0.6717,0.6454,0.6618,732178102.0
2023-11-13,0.6619,0.7535,0.6396,0.6706,2906775437.9
2023-11-14,0.6705,0.6732,0.587,0.6294,1893948037.5
2023-11-15,0.6295,0.6506,0.6252,0.6482,1015099113.0
2023-11-16,0.6483,0.6537,0.603,0.612,1315709453.2
2023-11-17,0.612,0.6244,0.5851,0.6133,1170243285.7
2023-11-18,0.6134,0.6146,0.5887,0.611,763264351.5
2023-11-19,0.6109,0.6288,0.6013,0.626,942245153.1
2023-11-20,0.626,0.6288,0.6058,0.6122,1002343840.7
2023-11-21,0.6122,0.6181,0.572,0.5786,1347764160.8
2023-11-22,0.5786,0.6164,0.5773,0.6113,877110289.2
2023-11-23,0.6113,0.624,0.6061,0.6211,904037858.0
2023-11-24,0.6211,0.6262,0.6155,0.6212,760384038.8
2023-11-25,0.6211,0.6239,0.6156,0.6227,397356757.5
2023-11-26,0.6227,0.6378,0.605,0.6159,1004574070.5
2023-11-27,0.6159,0.6171,0.5932,0.6038,816778653.2
2023-11-28,0.6038,0.6141,0.5955,0.6105,668315285.8
2023-11-29,0.6105,0.6176,0.6034,0.6091,583313806.8
2023-11-30,0.609,0.6098,0.5973,0.6065,536920705.0
2023-12-01,0.6066,0.6147,0.6033,0.6129,580766439.4
2023-12-02,0.6128,0.6238,0.6113,0.6213,458540340.5
2023-12-03,0.6213,0.6348,0.6171,0.6236,790454811.2
2023-12-04,0.6235,0.6452,0.5589,0.625,1526215127.6
2023-12-05,0.625,0.6311,0.6066,0.6216,1071335040.9
2023-12-06,0.6216,0.6445,0.6102,0.6405,1565189550.3
2023-12-07,0.6405,0.6551,0.6214,0.6438,1506257876.6
2023-12-08,0.6437,0.6764,0.6378,0.6729,1314664061.0
2023-12-09,0.673,0.7015,0.6513,0.6587,1786663200.4
2023-12-10,0.6587,0.6719,0.6466,0.6622,843939222.7
2023-12-11,0.6621,0.6634,0.585,0.6189,1715104401.0
2023-12-12,0.6189,0.6267,0.6069,0.6197,842287251.1
2023-12-13,0.6197,0.635,0.5929,0.6277,1106920180.9
2023-12-14,0.6278,0.6383,0.6,0.6321,985131613.7
2023-12-15,0.6321,0.6449,0.6115,0.6158,911056827.4
2023-12-16,0.6157,0.6263,0.6101,0.6207,459461226.4
2023-12-17,0.6206,0.6244,0.6085,0.6107,693902455.6
2023-12-18,0.6108,0.6145,0.5786,0.6127,1164602336.0
2023-12-19,0.6127,0.617,0.5973,0.6048,697477075.2
2023-12-20,0.6048,0.6269,0.6011,0.6174,1020204778.2
2023-12-21,0.6174,0.6255,0.6102,0.6246,665329958.4
2023-12-22,0.6247,0.633,0.6155,0.6251,851897186.6
2023-12-23,0.6251,0.6255,0.6106,0.62,464854889.1
2023-12-24,0.62,0.6303,0.6,0.6129,896834094.0
2023-12-25,0.6129,0.6498,0.6088,0.6467,1280836211.3
2023-12-26,0.6468,0.6475,0.5932,0.6225,1399485930.8
2023-12-27,0.6224,0.643,0.6131,0.6349,997611715.8
2023-12-28,0.6348,0.6592,0.6249,0.6352,1340050103.4
2023-12-29,0.6353,0.637,0.6112,0.6232,884021095.2
2023-12-30,0.6232,0.6305,0.6161,0.6212,494094669.4
2023-12-31,0.6212,0.6294,0.605,0.6157,493462752.4
2024-01-01,0.6157,0.6317,0.6087,0.6303,463195992.3
2024-01-02,0.6303,0.6416,0.6217,0.625,898839289.7
2024-01-03,0.625,0.6401,0.4812,0.5822,2465325143.9
2024-01-04,0.5822,0.5938,0.5693,0.5868,976738351.5
2024-01-05,0.5869,0.5886,0.5479,0.5756,1119231459.0
2024-01-06,0.5756,0.5756,0.5564,0.5679,538128523.8
2024-01-07,0.5678,0.5732,0.5452,0.5511,717560657.5
2024-01-08,0.5511,0.5817,0.5433,0.5776,1601191494.8
2024-01-09,0.5775,0.5793,0.5451,0.5669,1467112482.1
2024-01-10,0.5668,0.615,0.547,0.6011,1764099928.9
2024-01-11,0.6011,0.6246,0.5857,0.602,1464996790.7
2024-01-12,0.602,0.6039,0.55,0.5698,1334269425.6
2024-01-13,0.5698,0.5776,0.5628,0.5748,456518662.5
2024-01-14,0.5748,0.5935,0.5715,0.5765,765236128.3
2024-01-15,0.5765,0.5898,0.5684,0.5757,652755796.7
2024-01-16,0.5756,0.5798,0.5656,0.5758,641308470.6
2024-01-17,0.5759,0.5764,0.5608,0.5688,579325000.8
2024-01-18,0.5688,0.5692,0.5416,0.5521,775411038.8
2024-01-19,0.5521,0.5539,0.5215,0.5443,999513797.8
2024-01-20,0.5442,0.5553,0.539,0.5535,485656126.4
2024-01-21,0.5534,0.5554,0.5451,0.5465,327124322.6
2024-01-22,0.5465,0.5499,0.517,0.5276,1008729622.7
2024-01-23,0.5275,0.5318,0.4958,0.518,1237051528.7
2024-01-24,0.518,0.5193,0.511,0.5181,571063022.2
2024-01-25,0.5181,0.5182,0.5036,0.5138,563476521.9
2024-01-26,0.5138,0.5367,0.5084,0.532,662240895.5
2024-01-27,0.532,0.5348,0.526,0.5301,363340769.3
2024-01-28,0.5301,0.5354,0.5206,0.5239,491616929.3
2024-01-29,0.524,0.5399,0.5187,0.5348,751635017.8
2024-01-30,0.5348,0.539,0.5065,0.5106,1156045901.8
2024-01-31,0.5107,0.5143,0.484,0.5031,1468077531.1
2024-02-01,0.503,0.5105,0.4898,0.5056,860612079.5
2024-02-02,0.5057,0.514,0.4981,0.5102,652517872.6
2024-02-03,0.5101,0.5268,0.5057,0.5186,857736692.6
2024-02-04,0.5186,0.5191,0.4996,0.5029,548323736.7
2024-02-05,0.503,0.5141,0.4964,0.5065,723567063.1
2024-02-06,0.5066,0.5111,0.4975,0.5048,639263381.4
2024-02-07,0.5049,0.5154,0.4993,0.5136,739354557.3
2024-02-08,0.5136,0.5196,0.51,0.5144,795819233.0
2024-02-09,0.5145,0.5283,0.5138,0.526,794587837.8
2024-02-10,0.526,0.5281,0.5183,0.5239,422043477.2
2024-02-11,0.5239,0.5362,0.5215,0.526,662801424.2
2024-02-12,0.526,0.5382,0.5142,0.5317,968655174.4
2024-02-13,0.5318,0.5342,0.5132,0.525,994722413.5
2024-02-14,0.525,0.5423,0.5205,0.538,984486795.5
2024-02-15,0.538,0.5771,0.5372,0.5625,1721521715.7
2024-02-16,0.5624,0.5797,0.552,0.5646,1397904813.9
