datetime,open,high,low,close,volume
2022-11-07,0.4707,0.4798,0.311,0.3405,16224656217.6
2022-11-14,0.3405,0.3978,0.3208,0.3607,13371480951.9
2022-11-21,0.3607,0.4196,0.345,0.3961,12318244733.9
2022-11-28,0.396,0.4116,0.3725,0.3893,8240940765.7
2022-12-05,0.3892,0.3962,0.3714,0.3806,6348136722.1
2022-12-12,0.3805,0.3991,0.343,0.3495,7883946295.7
2022-12-19,0.3494,0.3548,0.3312,0.3455,6710261163.2
2022-12-26,0.3456,0.3728,0.3334,0.3385,10871120514.9
2023-01-02,0.3384,0.3554,0.2968,0.3451,11019764154.9
2023-01-09,0.345,0.4094,0.3417,0.3845,17777085321.5
2023-01-16,0.3845,0.4165,0.3635,0.4002,13461868121.8
2023-01-23,0.4003,0.4332,0.3966,0.4133,10679778620.8
2023-01-30,0.4133,0.4221,0.3832,0.3983,9203100988.6
2023-02-06,0.3983,0.4102,0.3709,0.3744,7976088415.0
2023-02-13,0.3744,0.4047,0.3605,0.3859,8517065088.3
2023-02-20,0.3859,0.4092,0.3682,0.3776,7763746516.2
2023-02-27,0.3776,0.3847,0.3483,0.3666,6844078409.9
2023-03-06,0.3666,0.4019,0.347,0.371,17461110445.3
2023-03-13,0.3711,0.4005,0.3546,0.386,14504896375.6
2023-03-20,0.386,0.4927,0.3702,0.4477,34476768855.7
2023-03-27,0.4477,0.5856,0.4422,0.5177,35631357240.4
2023-04-03,0.5176,0.5267,0.4815,0.505,9626183199.3
2023-04-10,0.505,0.5472,0.4977,0.5207,7917516592.5
2023-04-17,0.5208,0.5394,0.4394,0.4642,9719943073.2
2023-04-24,0.4643,0.4868,0.4308,0.4703,9489664730.4
2023-05-01,0.4703,0.4722,0.4451,0.4487,6312963777.1
2023-05-08,0.4486,0.4509,0.4067,0.425,7686650408.3
2023-05-15,0.425,0.4757,0.4168,0.4572,10732475136.9
2023-05-22,0.4571,0.4864,0.4406,0.482,7064713892.4
2023-05-29,0.482,0.5468,0.4755,0.5354,11665470285.0
2023-06-05,0.5353,0.5429,0.47,0.5207,14196714725.1
2023-06-12,0.5207,0.566,0.4537,0.4865,13497215633.3
2023-06-19,0.4866,0.5272,0.4711,0.4899,9432901703.6
